,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
945,0.0088,0.0028,0.0023,0.0115,0.0004,0.9643,0.45,0.55,0.2,0.2078480848442394
1251,0.0469,0.0028,0.0015,0.2475,0.0003,0.6892,0.81,0.85,0.26,0.22971437435284073
2050,0.3891,0.1207,0.0118,0.0207,0.0013,0.4349,0.48,0.36,0.14,0.1667407010767881
1113,0.0011,0.0015,0.0001,0.0011,0.0002,0.9902,0.8,0.35,0.19,0.20438485373618206
270,0.1254,0.0023,0.0027,0.2088,0.0009,0.6414,0.9,0.86,0.22,0.22102290873329866
2967,0.0367,0.0191,0.0165,0.0057,0.0005,0.8838,0.24,0.22,0.12,0.17857225500772636
251,0.0524,0.1389,0.0407,0.0038,0.0063,0.6931,0.27,0.65,0.21,0.1971374544975291
368,0.2497,0.0139,0.0151,0.0074,0.0002,0.6834,0.96,0.83,0.14,0.19689519954734488
387,0.0942,0.0091,0.0034,0.004,0.0021,0.8694,0.14,0.18,0.16,0.17674044890481297
3027,0.1822,0.0159,0.0092,0.0107,0.0005,0.7722,0.5,0.61,0.32,0.19291324891796438
869,0.0698,0.0007,0.0035,0.0082,0.0,0.8983,0.34,0.38,0.19,0.1899105742249757
1690,0.0487,0.0019,0.0006,0.0273,0.0,0.9162,0.51,0.83,0.15,0.2196608070584989
2482,0.0081,0.0014,0.005,0.0086,0.0,0.9735,0.12,0.07,0.18,0.18048425400205947
2175,0.071,0.0016,0.0167,0.1879,0.0003,0.6863,0.69,0.21,0.22,0.18418109532632537
246,0.0206,0.003,0.0003,0.0067,0.0,0.9534,0.65,0.65,0.22,0.21351868845538147
