states,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,svi_category,cvac_level_of_concern_for_vaccination_rollout,cvac_level_of_concern,percent_adults_fully_vaccinated_against_covid19,estimated_hesitant
MICHIGAN,0.0291,0.0042,0.0019,0.0059,0.0,0.9396,0.48,Moderate Concern,0.46,Moderate Concern,0.206,0.2
NEBRASKA,0.0427,0.0001,0.0021,0.0063,0.0,0.9346,0.22,Low Concern,0.29,Low Concern,0.216,0.18
NEBRASKA,0.1021,0.0066,0.0157,0.0606,0.0,0.8039,0.58,Moderate Concern,0.43,Moderate Concern,0.17,0.18
NEBRASKA,0.0263,0.0009,0.0049,0.0055,0.0,0.9468,0.05,Very Low Concern,0.17,Very Low Concern,0.16,0.18
NEBRASKA,0.0259,0.0024,0.0,0.0049,0.0,0.949,0.06,Very Low Concern,0.21,Low Concern,0.149,0.18
NEBRASKA,0.0153,0.0008,0.0062,0.0021,0.0018,0.9616,0.02,Very Low Concern,0.02,Very Low Concern,0.184,0.18
NEBRASKA,0.2534,0.0025,0.0197,0.0226,0.0,0.69,0.6,Moderate Concern,0.42,Moderate Concern,0.103,0.18
NEBRASKA,0.0552,0.0673,0.008,0.0208,0.0004,0.8111,0.6,Moderate Concern,0.43,Moderate Concern,0.12,0.17
NEBRASKA,0.0808,0.0007,0.0034,0.0041,0.0,0.8876,0.23,Low Concern,0.26,Low Concern,0.2,0.18
NEBRASKA,0.0932,0.0034,0.0253,0.0366,0.0011,0.8096,0.1,Very Low Concern,0.09,Very Low Concern,0.181,0.17
NEBRASKA,0.0554,0.0,0.0049,0.0146,0.0,0.9181,0.06,Very Low Concern,0.21,Low Concern,0.102,0.18
NEBRASKA,0.057,0.0021,0.0015,0.0036,0.0,0.9219,0.12,Very Low Concern,0.08,Very Low Concern,0.182,0.18
PENNSYLVANIA,0.044,0.0013,0.0048,0.029,0.0001,0.91,0.45,Moderate Concern,0.24,Low Concern,0.204,0.17
PENNSYLVANIA,0.0204,0.002,0.0035,0.0092,0.0,0.9532,0.11,Very Low Concern,0.21,Low Concern,0.119,0.17
PENNSYLVANIA,0.0214,0.0007,0.0068,0.0092,0.0,0.9508,0.23,Low Concern,0.37,Low Concern,0.164,0.18
PENNSYLVANIA,0.1468,0.0021,0.0719,0.4083,0.0003,0.3448,0.92,Very High Concern,0.31,Low Concern,0.158,0.17
PENNSYLVANIA,0.1091,0.001,0.0118,0.0538,0.0004,0.8042,0.13,Very Low Concern,0.15,Very Low Concern,0.131,0.16
PENNSYLVANIA,0.0276,0.0006,0.0346,0.018,0.0,0.9134,0.31,Low Concern,0.1,Very Low Concern,0.437,0.17
PENNSYLVANIA,0.0514,0.0007,0.0758,0.0899,0.0003,0.7578,0.17,Very Low Concern,0.01,Very Low Concern,0.194,0.12
PENNSYLVANIA,0.1324,0.001,0.0276,0.0505,0.0004,0.7666,0.29,Low Concern,0.09,Very Low Concern,0.205,0.14
PENNSYLVANIA,0.0136,0.002,0.0035,0.004,0.0,0.965,0.44,Moderate Concern,0.31,Low Concern,0.109,0.18
PENNSYLVANIA,0.015,0.0005,0.0034,0.0245,0.0001,0.9426,0.42,Moderate Concern,0.34,Low Concern,0.157,0.18
PENNSYLVANIA,0.0348,0.002,0.0039,0.0241,0.0004,0.9248,0.5,Moderate Concern,0.39,Low Concern,0.228,0.17
TENNESSEE,0.0599,0.0039,0.0078,0.009,0.0002,0.8999,0.61,High Concern,0.53,Moderate Concern,0.139,0.25
TENNESSEE,0.0488,0.0025,0.014,0.0727,0.0004,0.8412,0.21,Low Concern,0.63,High Concern,0.15,0.22
TENNESSEE,0.0071,0.0,0.0,0.0028,0.0,0.9571,0.6,High Concern,0.97,Very High Concern,0.22,0.25
TENNESSEE,0.0278,0.0029,0.0067,0.1836,0.0,0.7569,0.45,Moderate Concern,0.66,High Concern,0.114,0.25
TENNESSEE,0.0423,0.0029,0.0164,0.0712,0.0002,0.8497,0.15,Very Low Concern,0.56,Moderate Concern,0.165,0.21
TEXAS,0.1879,0.0035,0.0028,0.0069,0.0,0.7783,0.51,Moderate Concern,0.77,High Concern,0.0,0.17
TEXAS,0.6022,0.0016,0.0274,0.071,0.0009,0.2767,0.83,Very High Concern,0.87,Very High Concern,0.0,0.16
TEXAS,0.0853,0.0025,0.0,0.0308,0.0112,0.8661,0.16,Very Low Concern,0.78,High Concern,0.0,0.19
TEXAS,0.5886,0.0042,0.0052,0.0683,0.0001,0.3138,0.97,Very High Concern,0.99,Very High Concern,0.0,0.18
TEXAS,0.3768,0.0027,0.0084,0.0707,0.0,0.5233,0.75,High Concern,0.85,Very High Concern,0.0,0.18
TEXAS,0.2482,0.0024,0.0284,0.2152,0.0063,0.4577,0.81,Very High Concern,0.83,Very High Concern,0.0,0.21
TEXAS,0.1938,0.0012,0.0144,0.0003,0.0037,0.7699,0.28,Low Concern,0.68,High Concern,0.0,0.15
TEXAS,0.5871,0.0,0.0,0.0384,0.0,0.3606,0.86,Very High Concern,0.99,Very High Concern,0.0,0.17
TEXAS,0.6188,0.0,0.0,0.0069,0.0,0.3743,0.69,High Concern,0.9,Very High Concern,0.0,0.18
TEXAS,0.2153,0.0067,0.0,0.0097,0.0,0.762,0.62,High Concern,0.91,Very High Concern,0.0,0.18
TEXAS,0.2973,0.0009,0.0002,0.1264,0.0,0.5593,0.68,High Concern,0.93,Very High Concern,0.0,0.17
TEXAS,0.2876,0.0209,0.0,0.0835,0.0,0.6009,0.89,Very High Concern,0.98,Very High Concern,0.0,0.19
TEXAS,0.1815,0.0069,0.0086,0.028,0.0006,0.7534,0.62,High Concern,0.85,Very High Concern,0.0,0.19
TEXAS,0.4513,0.0031,0.004,0.0116,0.0,0.5285,0.43,Moderate Concern,0.96,Very High Concern,0.0,0.18
TEXAS,0.1828,0.0065,0.0195,0.1277,0.0075,0.5868,0.78,High Concern,0.82,Very High Concern,0.0,0.19
TEXAS,0.1527,0.0033,0.1509,0.0963,0.0006,0.5696,0.15,Very Low Concern,0.49,Moderate Concern,0.0,0.13
TEXAS,0.2314,0.0091,0.0,0.1449,0.0,0.5177,0.94,Very High Concern,1.0,Very High Concern,0.0,0.19
TEXAS,0.2792,0.0069,0.0061,0.006,0.0,0.6946,0.73,High Concern,0.92,Very High Concern,0.0,0.18
TEXAS,0.1752,0.0053,0.005,0.0161,0.0,0.7683,0.42,Moderate Concern,0.94,Very High Concern,0.0,0.18
TEXAS,0.0628,0.0097,0.0112,0.0045,0.0,0.8977,0.32,Low Concern,0.68,High Concern,0.0,0.19
TEXAS,0.6437,0.0021,0.0198,0.0231,0.0,0.3113,0.47,Moderate Concern,0.93,Very High Concern,0.0,0.18
TEXAS,0.2736,0.0008,0.0111,0.02,0.0003,0.6751,0.24,Low Concern,0.64,High Concern,0.0,0.14
TEXAS,0.7105,0.0005,0.0059,0.0014,0.0,0.2538,1.0,Very High Concern,1.0,Very High Concern,0.0,0.18
TEXAS,0.0569,0.0026,0.0062,0.0555,0.0,0.8649,0.25,Low Concern,0.81,Very High Concern,0.0,0.19
