states,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,svi_category,cvac_level_of_concern_for_vaccination_rollout,cvac_level_of_concern,percent_adults_fully_vaccinated_against_covid19,estimated_hesitant
PENNSYLVANIA,0.0752,0.0003,0.028,0.0258,0.0004,0.852,0.53,Moderate Concern,0.11,Very Low Concern,0.28,0.17
PENNSYLVANIA,0.038,0.0012,0.0568,0.211,0.0001,0.6681,0.41,Moderate Concern,0.06,Very Low Concern,0.214,0.14
PENNSYLVANIA,0.0111,0.0004,0.0085,0.0004,0.0,0.9573,0.3,Low Concern,0.3,Low Concern,0.296,0.18
SOUTH CAROLINA,0.0747,0.0035,0.0024,0.3105,0.0,0.5991,0.92,Very High Concern,0.67,High Concern,0.212,0.2
SOUTH DAKOTA,0.0307,0.0104,0.0301,0.0131,0.0,0.9023,0.16,Very Low Concern,0.3,Low Concern,0.114,0.2
PENNSYLVANIA,0.0152,0.0012,0.0083,0.0175,0.0001,0.9517,0.49,Moderate Concern,0.39,Low Concern,0.175,0.18
PENNSYLVANIA,0.0156,0.002,0.0033,0.0052,0.0001,0.9588,0.47,Moderate Concern,0.45,Moderate Concern,0.205,0.18
SOUTH CAROLINA,0.0596,0.0029,0.0019,0.3507,0.0004,0.5669,0.85,Very High Concern,0.75,High Concern,0.187,0.19
SOUTH CAROLINA,0.0375,0.0016,0.0093,0.1558,0.0003,0.7735,0.7,High Concern,0.53,Moderate Concern,0.168,0.19
PENNSYLVANIA,0.0554,0.0004,0.0011,0.2535,0.0,0.6699,0.71,High Concern,0.54,Moderate Concern,0.205,0.18
SOUTH CAROLINA,0.0601,0.0027,0.0187,0.1466,0.0007,0.7485,0.44,Moderate Concern,0.27,Low Concern,0.185,0.18
SOUTH DAKOTA,0.0731,0.0199,0.0,0.0166,0.0,0.8827,0.27,Low Concern,0.22,Low Concern,0.134,0.2
SOUTH CAROLINA,0.0513,0.0018,0.015,0.2653,0.0007,0.6453,0.32,Low Concern,0.37,Low Concern,0.218,0.16
SOUTH DAKOTA,0.0064,0.0748,0.0,0.0005,0.0,0.892,0.36,Low Concern,0.42,Moderate Concern,0.117,0.29
PENNSYLVANIA,0.0127,0.0006,0.0053,0.0069,0.0003,0.9608,0.32,Low Concern,0.16,Very Low Concern,0.149,0.17
SOUTH DAKOTA,0.0326,0.0016,0.0046,0.0008,0.0,0.936,0.17,Very Low Concern,0.36,Low Concern,0.251,0.21
SOUTH CAROLINA,0.0321,0.0081,0.0013,0.3825,0.0,0.566,0.8,Very High Concern,0.69,High Concern,0.133,0.2
SOUTH DAKOTA,0.03,0.0302,0.0289,0.0166,0.0,0.873,0.25,Low Concern,0.22,Low Concern,0.241,0.21
SOUTH CAROLINA,0.0684,0.0014,0.0235,0.2024,0.0002,0.6834,0.76,High Concern,0.45,Moderate Concern,0.138,0.19
OREGON,0.0862,0.0064,0.0028,0.0,0.0014,0.8728,0.39,Low Concern,0.41,Moderate Concern,0.387,0.17
RHODE ISLAND,0.032,0.0072,0.0191,0.0126,0.0008,0.9092,0.09,Very Low Concern,0.0,Very Low Concern,0.267,0.11
PENNSYLVANIA,0.016,0.0006,0.0052,0.0573,0.0006,0.8947,0.25,Low Concern,0.07,Very Low Concern,0.134,0.15
PENNSYLVANIA,0.0172,0.0002,0.0038,0.0063,0.0,0.9626,0.21,Low Concern,0.21,Low Concern,0.156,0.16
SOUTH CAROLINA,0.0396,0.0023,0.0137,0.4661,0.0005,0.4517,0.97,Very High Concern,0.72,High Concern,0.182,0.21
SOUTH CAROLINA,0.0436,0.001,0.0058,0.2003,0.0004,0.7278,0.7,High Concern,0.86,Very High Concern,0.117,0.2
SOUTH CAROLINA,0.0443,0.0018,0.0018,0.2331,0.0014,0.6878,0.5,Moderate Concern,0.55,Moderate Concern,0.159,0.19
PENNSYLVANIA,0.0123,0.0002,0.0036,0.0415,0.0006,0.9176,0.62,High Concern,0.26,Low Concern,0.228,0.19
PENNSYLVANIA,0.1048,0.0009,0.0218,0.0349,0.0002,0.8198,0.46,Moderate Concern,0.27,Low Concern,0.175,0.16
SOUTH DAKOTA,0.0234,0.0211,0.0054,0.0078,0.0,0.9276,0.24,Low Concern,0.15,Very Low Concern,0.114,0.21
RHODE ISLAND,0.2278,0.0028,0.0408,0.0829,0.0008,0.6079,0.76,High Concern,0.08,Very Low Concern,0.222,0.14
SOUTH DAKOTA,0.0415,0.81,0.0,0.0015,0.0,0.1367,0.97,Very High Concern,0.79,High Concern,0.352,0.29
SOUTH CAROLINA,0.0245,0.0001,0.0005,0.6381,0.0,0.3244,0.92,Very High Concern,0.9,Very High Concern,0.155,0.21
OREGON,0.1587,0.0101,0.0143,0.0081,0.0025,0.7723,0.66,High Concern,0.55,Moderate Concern,0.179,0.16
PENNSYLVANIA,0.0153,0.0003,0.0036,0.0287,0.0,0.9341,0.44,Moderate Concern,0.2,Low Concern,0.164,0.17
PENNSYLVANIA,0.0129,0.0006,0.0099,0.0216,0.0001,0.9392,0.55,Moderate Concern,0.35,Low Concern,0.169,0.18
SOUTH DAKOTA,0.043,0.0005,0.0028,0.0043,0.0,0.9351,0.16,Very Low Concern,0.21,Low Concern,0.128,0.21
PENNSYLVANIA,0.015,0.001,0.0072,0.0561,0.0,0.9018,0.54,Moderate Concern,0.16,Very Low Concern,0.262,0.17
PENNSYLVANIA,0.0109,0.0011,0.0048,0.0047,0.0,0.9677,0.21,Low Concern,0.14,Very Low Concern,0.153,0.17
PENNSYLVANIA,0.0741,0.0009,0.0546,0.0561,0.0002,0.7944,0.14,Very Low Concern,0.02,Very Low Concern,0.204,0.12
RHODE ISLAND,0.0305,0.0007,0.0206,0.0126,0.0,0.9142,0.12,Very Low Concern,0.01,Very Low Concern,0.28,0.11
PENNSYLVANIA,0.0275,0.0012,0.0112,0.0171,0.0003,0.9321,0.28,Low Concern,0.16,Very Low Concern,0.241,0.17
SOUTH DAKOTA,0.0312,0.0195,0.0073,0.0137,0.0,0.9059,0.23,Low Concern,0.15,Very Low Concern,0.105,0.2
PENNSYLVANIA,0.0197,0.0017,0.0058,0.0526,0.0001,0.9054,0.49,Moderate Concern,0.2,Very Low Concern,0.186,0.18
SOUTH CAROLINA,0.0538,0.0038,0.0181,0.2482,0.0013,0.6421,0.42,Moderate Concern,0.42,Moderate Concern,0.136,0.19
PENNSYLVANIA,0.0171,0.0004,0.0095,0.0304,0.0004,0.9218,0.17,Very Low Concern,0.03,Very Low Concern,0.211,0.15
SOUTH CAROLINA,0.0915,0.0021,0.0248,0.1746,0.0027,0.6834,0.5,Moderate Concern,0.3,Low Concern,0.179,0.17
PENNSYLVANIA,0.0127,0.0013,0.0061,0.016,0.0005,0.9457,0.4,Low Concern,0.16,Very Low Concern,0.192,0.18
SOUTH DAKOTA,0.0065,0.0212,0.0,0.0,0.0,0.9437,0.15,Very Low Concern,0.26,Low Concern,0.12,0.2
SOUTH CAROLINA,0.0332,0.0292,0.0043,0.5036,0.0,0.3908,0.99,Very High Concern,0.91,Very High Concern,0.167,0.19
SOUTH DAKOTA,0.0273,0.0694,0.004,0.0147,0.0,0.8684,0.24,Low Concern,0.31,Low Concern,0.267,0.2
SOUTH CAROLINA,0.0335,0.0028,0.0016,0.7363,0.0004,0.2209,0.99,Very High Concern,0.82,Very High Concern,0.136,0.2
SOUTH CAROLINA,0.0307,0.0008,0.0051,0.3085,0.0,0.6414,0.68,High Concern,0.5,Moderate Concern,0.231,0.19
PENNSYLVANIA,0.0163,0.0004,0.0043,0.0317,0.0003,0.9271,0.49,Moderate Concern,0.19,Very Low Concern,0.216,0.17
SOUTH DAKOTA,0.0363,0.033,0.0012,0.0067,0.0,0.912,0.36,Low Concern,0.5,Moderate Concern,0.117,0.21
PENNSYLVANIA,0.2448,0.0008,0.0331,0.0557,0.0001,0.6442,0.63,High Concern,0.13,Very Low Concern,0.221,0.16
PENNSYLVANIA,0.0131,0.0004,0.0054,0.0157,0.0002,0.948,0.51,Moderate Concern,0.24,Low Concern,0.262,0.17
PENNSYLVANIA,0.021,0.0013,0.0051,0.0236,0.0005,0.9348,0.55,Moderate Concern,0.32,Low Concern,0.151,0.18
SOUTH CAROLINA,0.0155,0.0008,0.0001,0.3036,0.0,0.6459,0.87,Very High Concern,0.77,High Concern,0.14,0.2
PENNSYLVANIA,0.0421,0.0025,0.0166,0.0683,0.0001,0.8423,0.62,High Concern,0.16,Very Low Concern,0.22,0.18
RHODE ISLAND,0.0498,0.0019,0.0271,0.0161,0.0,0.8833,0.15,Very Low Concern,0.0,Very Low Concern,0.287,0.13
PENNSYLVANIA,0.0149,0.0004,0.0125,0.009,0.0001,0.9469,0.08,Very Low Concern,0.04,Very Low Concern,0.257,0.14
SOUTH DAKOTA,0.0035,0.0303,0.0,0.0004,0.0,0.9606,0.08,Very Low Concern,0.1,Very Low Concern,0.23,0.21
SOUTH CAROLINA,0.0202,0.0047,0.002,0.3698,0.0,0.5866,0.74,High Concern,0.81,Very High Concern,0.144,0.2
SOUTH CAROLINA,0.0367,0.0025,0.0195,0.0677,0.0002,0.857,0.6,Moderate Concern,0.55,Moderate Concern,0.172,0.19
SOUTH CAROLINA,0.1109,0.0022,0.0127,0.1751,0.0007,0.6792,0.4,Moderate Concern,0.28,Low Concern,0.25,0.15
SOUTH CAROLINA,0.0572,0.003,0.0093,0.2458,0.0005,0.662,0.67,High Concern,0.61,High Concern,0.163,0.19
PENNSYLVANIA,0.0122,0.0014,0.0039,0.0064,0.0,0.9671,0.27,Low Concern,0.23,Low Concern,0.118,0.18
PENNSYLVANIA,0.0145,0.0008,0.0042,0.0358,0.0,0.9198,0.47,Moderate Concern,0.17,Very Low Concern,0.196,0.17
SOUTH CAROLINA,0.0602,0.0008,0.0103,0.3152,0.0,0.5968,0.93,Very High Concern,0.6,High Concern,0.222,0.19
SOUTH CAROLINA,0.0538,0.001,0.0131,0.2079,0.0,0.7015,0.51,Moderate Concern,0.57,Moderate Concern,0.138,0.19
SOUTH DAKOTA,0.0101,0.783,0.0009,0.0009,0.0024,0.1984,0.88,Very High Concern,0.69,High Concern,0.411,0.29
SOUTH CAROLINA,0.0276,0.0182,0.0007,0.4767,0.0,0.4559,0.97,Very High Concern,0.8,Very High Concern,0.18,0.19
PENNSYLVANIA,0.0447,0.0014,0.0055,0.029,0.0002,0.9049,0.26,Low Concern,0.06,Very Low Concern,0.191,0.16
SOUTH CAROLINA,0.0282,0.0062,0.0071,0.5651,0.0,0.3857,0.93,Very High Concern,0.89,Very High Concern,0.181,0.19
SOUTH DAKOTA,0.002,0.0108,0.0007,0.0,0.0,0.9811,0.01,Very Low Concern,0.21,Low Concern,0.193,0.21
SOUTH DAKOTA,0.0046,0.688,0.0002,0.0034,0.0,0.2887,0.84,Very High Concern,0.8,Very High Concern,0.167,0.29
PENNSYLVANIA,0.0709,0.0007,0.007,0.0129,0.0,0.8901,0.21,Low Concern,0.14,Very Low Concern,0.148,0.17
SOUTH CAROLINA,0.0245,0.0,0.0011,0.4554,0.0,0.5039,0.99,Very High Concern,0.86,Very High Concern,0.16,0.2
PENNSYLVANIA,0.0092,0.001,0.0028,0.0047,0.0004,0.9716,0.33,Low Concern,0.4,Moderate Concern,0.301,0.18
SOUTH CAROLINA,0.0222,0.0035,0.0065,0.6134,0.0011,0.3328,0.92,Very High Concern,0.77,High Concern,0.169,0.2
SOUTH DAKOTA,0.0277,0.5968,0.0041,0.0006,0.0,0.3323,0.79,High Concern,0.72,High Concern,0.288,0.29
SOUTH DAKOTA,0.0455,0.0105,0.0011,0.0046,0.0,0.9259,0.06,Very Low Concern,0.19,Very Low Concern,0.185,0.21
PENNSYLVANIA,0.0109,0.0003,0.0037,0.0071,0.0,0.9581,0.42,Moderate Concern,0.22,Low Concern,0.171,0.18
PENNSYLVANIA,0.0096,0.0014,0.0057,0.0121,0.0005,0.9597,0.48,Moderate Concern,0.33,Low Concern,0.241,0.18
SOUTH CAROLINA,0.0264,0.0021,0.0129,0.4253,0.0008,0.5185,0.9,Very High Concern,0.58,Moderate Concern,0.206,0.19
PENNSYLVANIA,0.0183,0.0008,0.0008,0.0238,0.0003,0.9508,0.36,Low Concern,0.27,Low Concern,0.188,0.17
PENNSYLVANIA,0.0119,0.0004,0.0092,0.0229,0.0001,0.9379,0.14,Very Low Concern,0.05,Very Low Concern,0.193,0.15
PENNSYLVANIA,0.0295,0.0005,0.0611,0.0358,0.0003,0.8544,0.29,Low Concern,0.22,Low Concern,0.192,0.16
SOUTH DAKOTA,0.028,0.1054,0.0029,0.0049,0.0,0.8401,0.57,Moderate Concern,0.27,Low Concern,0.183,0.2
PENNSYLVANIA,0.012,0.0029,0.0012,0.0134,0.0,0.9604,0.22,Low Concern,0.41,Moderate Concern,0.108,0.18
PENNSYLVANIA,0.0532,0.0014,0.0479,0.0386,0.0001,0.8406,0.08,Very Low Concern,0.01,Very Low Concern,0.194,0.12
RHODE ISLAND,0.057,0.0042,0.0195,0.035,0.0009,0.8577,0.18,Very Low Concern,0.01,Very Low Concern,0.247,0.11
SOUTH DAKOTA,0.0403,0.0566,0.0156,0.0,0.0,0.8463,0.42,Moderate Concern,0.26,Low Concern,0.237,0.29
PENNSYLVANIA,0.02,0.0019,0.007,0.0488,0.0002,0.9063,0.42,Moderate Concern,0.12,Very Low Concern,0.191,0.18
SOUTH CAROLINA,0.0402,0.0015,0.0027,0.5328,0.0,0.4089,0.8,Very High Concern,0.89,Very High Concern,0.196,0.2
SOUTH CAROLINA,0.0432,0.003,0.005,0.3176,0.0007,0.6029,0.95,Very High Concern,0.93,Very High Concern,0.161,0.19
SOUTH CAROLINA,0.0488,0.0013,0.0046,0.2398,0.0007,0.6786,0.92,Very High Concern,0.69,High Concern,0.158,0.19
PENNSYLVANIA,0.1312,0.0007,0.0136,0.0209,0.0002,0.8221,0.53,Moderate Concern,0.21,Low Concern,0.182,0.17
PENNSYLVANIA,0.0081,0.0014,0.005,0.0086,0.0,0.9735,0.12,Very Low Concern,0.07,Very Low Concern,0.322,0.18
SOUTH CAROLINA,0.0516,0.002,0.0285,0.4645,0.0011,0.4231,0.63,High Concern,0.46,Moderate Concern,0.18,0.19
SOUTH DAKOTA,0.0343,0.0019,0.0,0.0002,0.0,0.9613,0.08,Very Low Concern,0.28,Low Concern,0.136,0.21
TEXAS,0.2755,0.0021,0.0039,0.1399,0.0,0.5415,0.63,High Concern,0.97,Very High Concern,0.0,0.18
PENNSYLVANIA,0.0394,0.0008,0.0425,0.0369,0.0001,0.8569,0.16,Very Low Concern,0.03,Very Low Concern,0.174,0.15
PENNSYLVANIA,0.2103,0.0008,0.0137,0.0424,0.0001,0.717,0.62,High Concern,0.22,Low Concern,0.15,0.16
SOUTH CAROLINA,0.0149,0.0006,0.0032,0.2763,0.0,0.6885,0.86,Very High Concern,0.81,Very High Concern,0.199,0.19
SOUTH CAROLINA,0.0226,0.0047,0.0068,0.6433,0.0,0.3124,0.97,Very High Concern,0.89,Very High Concern,0.198,0.21
SOUTH CAROLINA,0.0661,0.0037,0.022,0.2385,0.0009,0.6354,0.51,Moderate Concern,0.5,Moderate Concern,0.127,0.18
PENNSYLVANIA,0.0382,0.0,0.0039,0.011,0.0,0.942,0.45,Moderate Concern,0.53,Moderate Concern,0.174,0.18
SOUTH DAKOTA,0.0088,0.0669,0.0177,0.0,0.0,0.8772,0.28,Low Concern,0.21,Low Concern,0.178,0.29
PENNSYLVANIA,0.0564,0.001,0.0081,0.035,0.0,0.8808,0.34,Low Concern,0.13,Very Low Concern,0.173,0.17
PENNSYLVANIA,0.0296,0.0022,0.005,0.0262,0.0,0.9301,0.61,High Concern,0.23,Low Concern,0.221,0.18
SOUTH CAROLINA,0.0083,0.0024,0.0024,0.4481,0.0,0.5083,0.74,High Concern,0.7,High Concern,0.328,0.19
PENNSYLVANIA,0.0211,0.0008,0.0369,0.1268,0.0002,0.7852,0.25,Low Concern,0.06,Very Low Concern,0.22,0.14
SOUTH DAKOTA,0.0294,0.0332,0.03,0.0217,0.0,0.8712,0.33,Low Concern,0.19,Very Low Concern,0.252,0.21
SOUTH DAKOTA,0.0385,0.0382,0.0034,0.0025,0.0,0.8983,0.23,Low Concern,0.24,Low Concern,0.148,0.21
SOUTH CAROLINA,0.0209,0.0009,0.0035,0.61,0.0,0.3597,0.95,Very High Concern,0.85,Very High Concern,0.153,0.2
SOUTH CAROLINA,0.0219,0.002,0.0001,0.5841,0.0,0.3817,0.75,High Concern,0.73,High Concern,0.181,0.17
SOUTH DAKOTA,0.0357,0.2897,0.0012,0.0009,0.001,0.6255,0.74,High Concern,0.56,Moderate Concern,0.225,0.29
PENNSYLVANIA,0.1589,0.0012,0.0232,0.1351,0.0,0.6607,0.31,Low Concern,0.17,Very Low Concern,0.125,0.15
PENNSYLVANIA,0.0475,0.0018,0.0056,0.0191,0.0001,0.917,0.3,Low Concern,0.2,Very Low Concern,0.195,0.15
PENNSYLVANIA,0.0188,0.0008,0.0022,0.0102,0.0,0.956,0.11,Very Low Concern,0.05,Very Low Concern,0.19,0.15
PENNSYLVANIA,0.0588,0.005,0.0167,0.0621,0.0001,0.8427,0.36,Low Concern,0.36,Low Concern,0.211,0.18
SOUTH CAROLINA,0.0204,0.0024,0.0037,0.4104,0.0003,0.5474,0.93,Very High Concern,0.78,High Concern,0.191,0.19
SOUTH CAROLINA,0.0546,0.003,0.0074,0.0682,0.0001,0.8444,0.73,High Concern,0.48,Moderate Concern,0.201,0.19
SOUTH DAKOTA,0.1006,0.0136,0.0912,0.0117,0.0039,0.7692,0.65,High Concern,0.29,Low Concern,0.133,0.2
TENNESSEE,0.0272,0.0037,0.003,0.171,0.0008,0.7665,0.74,High Concern,0.8,High Concern,0.18,0.26
SOUTH CAROLINA,0.0377,0.0083,0.0003,0.4084,0.0037,0.5398,0.56,Moderate Concern,0.8,Very High Concern,0.119,0.19
SOUTH CAROLINA,0.0604,0.0043,0.0134,0.1314,0.0003,0.7729,0.61,High Concern,0.37,Low Concern,0.208,0.18
TENNESSEE,0.1171,0.003,0.0086,0.0372,0.0029,0.8147,0.81,Very High Concern,0.72,High Concern,0.147,0.27
SOUTH DAKOTA,0.0068,0.0644,0.0,0.0243,0.0,0.8795,0.09,Very Low Concern,0.05,Very Low Concern,0.188,0.29
SOUTH DAKOTA,0.011,0.0138,0.0164,0.0032,0.0007,0.9322,0.2,Very Low Concern,0.18,Very Low Concern,0.121,0.2
TENNESSEE,0.1023,0.0019,0.0361,0.2693,0.0006,0.562,0.54,Moderate Concern,0.63,High Concern,0.189,0.22
TENNESSEE,0.0337,0.002,0.0078,0.0263,0.0006,0.9094,0.25,Low Concern,0.59,Moderate Concern,0.179,0.24
SOUTH DAKOTA,0.01,0.0373,0.0,0.0,0.0,0.9424,0.11,Very Low Concern,0.11,Very Low Concern,0.085,0.21
SOUTH DAKOTA,0.0032,0.7492,0.0061,0.0,0.0004,0.2354,0.95,Very High Concern,0.82,Very High Concern,0.122,0.29
SOUTH DAKOTA,0.016,0.0251,0.0177,0.0,0.0,0.9153,0.05,Very Low Concern,0.05,Very Low Concern,0.17,0.21
TENNESSEE,0.0235,0.0072,0.0019,0.0139,0.0012,0.9325,0.69,High Concern,0.72,High Concern,0.181,0.27
SOUTH DAKOTA,0.0406,0.0059,0.0,0.007,0.0,0.9339,0.22,Low Concern,0.14,Very Low Concern,0.221,0.21
TENNESSEE,0.0185,0.0039,0.0075,0.0231,0.0004,0.9274,0.38,Low Concern,0.63,High Concern,0.154,0.23
SOUTH DAKOTA,0.0499,0.0197,0.0208,0.0562,0.0002,0.8251,0.36,Low Concern,0.11,Very Low Concern,0.255,0.2
TENNESSEE,0.0266,0.0023,0.0039,0.102,0.0008,0.8457,0.74,High Concern,0.82,Very High Concern,0.204,0.26
TENNESSEE,0.0516,0.0043,0.0047,0.0018,0.0016,0.9187,0.69,High Concern,0.84,Very High Concern,0.136,0.27
TENNESSEE,0.0145,0.0,0.0,0.0443,0.0,0.9142,0.51,Moderate Concern,0.86,Very High Concern,0.171,0.27
TENNESSEE,0.0246,0.0024,0.0038,0.0524,0.0003,0.904,0.57,Moderate Concern,0.78,High Concern,0.134,0.25
SOUTH DAKOTA,0.0292,0.0544,0.0,0.0,0.0119,0.8807,0.11,Very Low Concern,0.03,Very Low Concern,0.307,0.29
TENNESSEE,0.0037,0.0,0.0,0.0018,0.0,0.9941,0.42,Moderate Concern,0.72,High Concern,0.21,0.25
TENNESSEE,0.0427,0.0023,0.0219,0.0865,0.0004,0.8227,0.3,Low Concern,0.5,Moderate Concern,0.181,0.22
TENNESSEE,0.027,0.0041,0.0067,0.2729,0.0,0.6802,0.26,Low Concern,0.6,High Concern,0.173,0.25
TENNESSEE,0.0351,0.0021,0.0054,0.0709,0.0,0.8683,0.68,High Concern,0.89,Very High Concern,0.151,0.25
TEXAS,0.1779,0.0031,0.0056,0.2095,0.0002,0.5893,0.79,High Concern,0.95,Very High Concern,0.0,0.2
TEXAS,0.0755,0.0112,0.0,0.0025,0.0,0.8936,0.16,Very Low Concern,0.56,Moderate Concern,0.0,0.19
TENNESSEE,0.0022,0.0165,0.024,0.022,0.0,0.9258,0.09,Very Low Concern,0.71,High Concern,0.088,0.25
SOUTH DAKOTA,0.0166,0.0,0.0058,0.0012,0.0,0.9644,0.03,Very Low Concern,0.04,Very Low Concern,0.127,0.2
TENNESSEE,0.0229,0.0,0.0136,0.0182,0.0,0.9332,0.64,High Concern,0.94,Very High Concern,0.155,0.27
TENNESSEE,0.0636,0.0011,0.0262,0.5343,0.0002,0.3576,0.78,High Concern,0.72,High Concern,0.151,0.24
SOUTH DAKOTA,0.0,0.0,0.0,0.0,0.0,0.9953,0.0,Very Low Concern,0.12,Very Low Concern,0.115,0.2
TENNESSEE,0.0155,0.0017,0.0052,0.0132,0.0007,0.9505,0.71,High Concern,0.76,High Concern,0.166,0.25
SOUTH DAKOTA,0.0027,0.5775,0.0043,0.003,0.0,0.3897,0.97,Very High Concern,0.85,Very High Concern,0.234,0.29
TENNESSEE,0.034,0.0049,0.0078,0.1264,0.0015,0.8,0.76,High Concern,0.66,High Concern,0.149,0.26
TENNESSEE,0.0272,0.0054,0.0037,0.02,0.0,0.926,0.26,Low Concern,0.82,Very High Concern,0.129,0.27
TENNESSEE,0.0232,0.0014,0.0024,0.2837,0.0,0.6668,0.92,Very High Concern,0.98,Very High Concern,0.123,0.26
TENNESSEE,0.0133,0.0037,0.0005,0.0569,0.0,0.9205,0.75,High Concern,0.91,Very High Concern,0.181,0.27
SOUTH DAKOTA,0.031,0.0167,0.0,0.0022,0.0019,0.9371,0.18,Very Low Concern,0.23,Low Concern,0.15,0.21
TENNESSEE,0.0291,0.005,0.0129,0.0351,0.0009,0.8911,0.61,High Concern,0.54,Moderate Concern,0.177,0.25
TENNESSEE,0.0565,0.0019,0.0203,0.1892,0.0004,0.7109,0.41,Moderate Concern,0.47,Moderate Concern,0.182,0.22
SOUTH DAKOTA,0.0443,0.1151,0.0212,0.0049,0.0,0.7681,0.39,Low Concern,0.25,Low Concern,0.219,0.2
TEXAS,0.0828,0.0068,0.0017,0.0087,0.0,0.8834,0.09,Very Low Concern,0.8,Very High Concern,0.0,0.19
SOUTH DAKOTA,0.0245,0.0046,0.0029,0.0046,0.0,0.9527,0.11,Very Low Concern,0.09,Very Low Concern,0.144,0.21
TENNESSEE,0.0211,0.0019,0.0021,0.0552,0.0,0.8981,0.72,High Concern,0.83,Very High Concern,0.215,0.27
TENNESSEE,0.0253,0.0031,0.0022,0.0967,0.0,0.8413,0.6,High Concern,0.83,Very High Concern,0.125,0.27
TENNESSEE,0.0582,0.0014,0.0094,0.1147,0.0001,0.7929,0.39,Low Concern,0.53,Moderate Concern,0.189,0.25
SOUTH DAKOTA,0.0222,0.0016,0.0022,0.0,0.0,0.968,0.02,Very Low Concern,0.03,Very Low Concern,0.292,0.2
TENNESSEE,0.0431,0.0005,0.0108,0.0379,0.0002,0.8838,0.49,Moderate Concern,0.67,High Concern,0.157,0.25
TEXAS,0.6213,0.0113,0.008,0.0046,0.0,0.3548,0.8,Very High Concern,0.96,Very High Concern,0.0,0.17
TENNESSEE,0.0495,0.0012,0.0048,0.0226,0.0,0.9053,0.82,Very High Concern,0.88,Very High Concern,0.165,0.27
TENNESSEE,0.0167,0.0003,0.0028,0.005,0.0027,0.9624,0.67,High Concern,0.78,High Concern,0.12,0.25
TENNESSEE,0.026,0.0026,0.0039,0.0817,0.0,0.873,0.63,High Concern,0.61,High Concern,0.231,0.26
TENNESSEE,0.0539,0.0,0.0032,0.0756,0.0,0.8486,0.61,High Concern,0.51,Moderate Concern,0.144,0.25
SOUTH DAKOTA,0.0127,0.4109,0.0062,0.001,0.001,0.5556,0.71,High Concern,0.56,Moderate Concern,0.321,0.29
TENNESSEE,0.0258,0.0042,0.0025,0.0845,0.0006,0.8677,0.66,High Concern,0.94,Very High Concern,0.149,0.26
TENNESSEE,0.0248,0.0207,0.0007,0.0331,0.0,0.8795,0.82,Very High Concern,0.91,Very High Concern,0.11,0.27
TEXAS,0.5628,0.0,0.0036,0.0068,0.0017,0.4018,0.47,Moderate Concern,0.88,Very High Concern,0.0,0.18
TENNESSEE,0.0255,0.002,0.0046,0.0389,0.0,0.9179,0.71,High Concern,0.75,High Concern,0.184,0.27
TENNESSEE,0.0208,0.0015,0.0079,0.0685,0.0,0.897,0.76,High Concern,0.94,Very High Concern,0.179,0.27
TENNESSEE,0.0136,0.0015,0.0224,0.0274,0.0,0.9186,0.68,High Concern,0.94,Very High Concern,0.174,0.27
SOUTH DAKOTA,0.0237,0.0214,0.0,0.0207,0.0,0.9211,0.08,Very Low Concern,0.22,Low Concern,0.056,0.21
SOUTH DAKOTA,0.002,0.1086,0.0081,0.0,0.0,0.8089,0.34,Low Concern,0.27,Low Concern,0.164,0.29
SOUTH DAKOTA,0.0319,0.0111,0.0126,0.0081,0.0,0.921,0.03,Very Low Concern,0.03,Very Low Concern,0.201,0.21
TENNESSEE,0.0224,0.0028,0.0003,0.0187,0.0001,0.9412,0.37,Low Concern,0.78,High Concern,0.102,0.27
SOUTH DAKOTA,0.0424,0.0254,0.0122,0.0185,0.0004,0.8757,0.09,Very Low Concern,0.15,Very Low Concern,0.214,0.21
SOUTH DAKOTA,0.0408,0.9019,0.0,0.0008,0.0,0.0444,0.99,Very High Concern,0.75,High Concern,0.369,0.29
TENNESSEE,0.014,0.0024,0.0043,0.0032,0.0,0.9631,0.73,High Concern,0.81,Very High Concern,0.143,0.27
TENNESSEE,0.0358,0.004,0.005,0.0417,0.0,0.8947,0.43,Moderate Concern,0.8,Very High Concern,0.148,0.25
TENNESSEE,0.0302,0.0025,0.0071,0.0092,0.0039,0.9179,0.41,Moderate Concern,0.7,High Concern,0.152,0.26
SOUTH DAKOTA,0.0374,0.008,0.0046,0.0,0.0,0.9403,0.04,Very Low Concern,0.15,Very Low Concern,0.121,0.2
TENNESSEE,0.0159,0.0005,0.0059,0.005,0.0,0.9672,0.77,High Concern,0.85,Very High Concern,0.149,0.27
SOUTH DAKOTA,0.0213,0.0043,0.011,0.0132,0.0002,0.9298,0.02,Very Low Concern,0.06,Very Low Concern,0.167,0.2
TENNESSEE,0.1056,0.001,0.0033,0.1299,0.0004,0.7393,0.78,High Concern,0.87,Very High Concern,0.199,0.26
TENNESSEE,0.0263,0.0003,0.0045,0.0893,0.0,0.8546,0.64,High Concern,0.8,Very High Concern,0.145,0.25
TENNESSEE,0.0254,0.0084,0.0026,0.3374,0.0,0.6063,0.97,Very High Concern,0.98,Very High Concern,0.116,0.25
