,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
738,0.4852,0.046,0.0,0.0077,0.0,0.4611,0.89,0.7,0.24,0.1792879987799142
739,0.341,0.0429,0.0,0.0008,0.0004,0.6132,0.52,0.45,0.27,0.17602990707446894
740,0.0761,0.004,0.0246,0.4561,0.0014,0.4035,0.9,0.7,0.25,0.21675707050191026
741,0.0492,0.0024,0.0178,0.5558,0.0021,0.3453,0.93,0.72,0.26,0.227489217528399
742,0.0653,0.0031,0.0322,0.307,0.0001,0.5625,0.57,0.65,0.23,0.20299167261558515
743,0.0529,0.0007,0.0368,0.0523,0.0007,0.8414,0.04,0.25,0.22,0.17030472054362789
744,0.0321,0.0,0.0078,0.3289,0.0,0.6151,0.83,0.83,0.27,0.22963973711384894
745,0.0167,0.0017,0.0075,0.2456,0.0,0.7143,0.38,0.58,0.23,0.21102993147897395
746,0.0505,0.0041,0.0,0.0935,0.0,0.8403,0.66,0.81,0.28,0.22062811060913698
747,0.0458,0.0043,0.0096,0.0026,0.0,0.9093,0.07,0.29,0.24,0.1803452319325736
748,0.0758,0.0014,0.0156,0.0017,0.0016,0.883,0.4,0.35,0.27,0.183971610487579
749,0.0384,0.0015,0.0031,0.5311,0.0,0.4201,0.94,0.91,0.26,0.24406312408297748
750,0.0605,0.0,0.0114,0.35,0.0002,0.5752,0.54,0.6,0.22,0.2134213603142125
751,0.0262,0.0,0.0184,0.3796,0.0,0.5732,0.92,0.91,0.24,0.23449996808572043
752,0.0274,0.0003,0.0053,0.0873,0.0009,0.8476,0.72,0.81,0.26,0.2189219304404779
753,0.0675,0.0054,0.0015,0.0026,0.0001,0.9108,0.14,0.33,0.27,0.18640653788201555
754,0.1261,0.0043,0.0196,0.401,0.005,0.3887,0.89,0.76,0.27,0.21270524682525957
755,0.2839,0.0015,0.0178,0.0708,0.0001,0.6082,0.66,0.63,0.22,0.1814835604786586
756,0.006,0.0003,0.0055,0.5773,0.0,0.4069,0.86,0.92,0.24,0.24715026243165106
757,0.2624,0.0275,0.0011,0.0053,0.0,0.685,0.82,0.61,0.26,0.19141899602499324
758,0.0458,0.0028,0.002,0.4636,0.0005,0.4585,0.99,0.93,0.27,0.24070625042510402
