,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predicted_y
1090,0.0678,0.0032,0.0033,0.028,0.0,0.8865,0.89,0.49,0.18,0.2058
1748,0.0284,0.0035,0.0153,0.1166,0.0001,0.816,0.26,0.45,0.15,0.20690000000000006
450,0.1224,0.0141,0.0135,0.0175,0.0023,0.8019,0.47,0.56,0.12,0.19630000000000009
1770,0.0086,0.005,0.0008,0.0023,0.0,0.98,0.52,0.74,0.18,0.20429999999999995
1703,0.0159,0.002,0.0049,0.0141,0.0,0.9472,0.53,0.72,0.17,0.19760000000000003
463,0.0659,0.0135,0.0028,0.0047,0.0,0.8759999999999999,0.89,0.66,0.22,0.20110000000000003
3132,0.0273,0.0429,0.0,0.0058,0.0,0.9146,0.18,0.52,0.32,0.21559999999999999
1206,0.5505,0.0046,0.0137,0.0191,0.0004,0.3972,0.86,0.68,0.2,0.16090000000000004
2394,0.0601,0.0027,0.0187,0.1466,0.0007,0.7485,0.44,0.27,0.18,0.16960000000000006
1691,0.035,0.0093,0.0053,0.0011,0.0,0.9295,0.19,0.2,0.24,0.1973
76,0.0981,0.0023,0.0263,0.0143,0.0002,0.8385,0.22,0.19,0.18,0.16230000000000003
331,0.0368,0.0018,0.0411,0.2273,0.0,0.6744,0.66,0.58,0.2,0.20420000000000016
610,0.1811,0.001,0.04,0.1249,0.0001,0.6289,0.52,0.04,0.11,0.12919999999999998
2225,0.056,0.2118,0.0013,0.0569,0.0,0.6268,0.81,0.88,0.22,0.23089999999999997
144,0.4974,0.0116,0.0,0.0,0.0,0.491,0.76,0.83,0.18,0.1875
1786,0.0402,0.002,0.0334,0.4623,0.0005,0.4364,0.78,0.78,0.15,0.23440000000000005
45,0.0201,0.0056,0.0012,0.0062,0.0,0.9481,0.77,0.71,0.23,0.19710000000000008
2808,0.0468,0.0159,0.0032,0.0001,0.0011,0.9122,0.11,0.49,0.16,0.23890000000000008
343,0.1392,0.0024,0.0206,0.0156,0.0008,0.7918,0.88,0.84,0.22,0.2084
1124,0.476,0.0,0.0043,0.0004,0.0,0.5165,0.38,0.72,0.2,0.1745
3009,0.2133,0.0026,0.0162,0.017,0.0013,0.7167,0.68,0.47,0.13,0.17739999999999995
544,0.0515,0.0014,0.0017,0.103,0.0,0.8277,0.93,0.92,0.25,0.24930000000000027
2019,0.0491,0.0049,0.0367,0.1084,0.0002,0.7685,0.52,0.17,0.14,0.17090000000000008
152,0.5044,0.001,0.0029,0.0648,0.0,0.4164,0.94,0.99,0.18,0.17400000000000004
2708,0.5219,0.0042,0.0097,0.056,0.0013,0.3967,0.87,0.97,0.18,0.17800000000000002
2619,0.0299,0.0049,0.0035,0.0067,0.0,0.9443,0.54,0.48,0.25,0.1850000000000001
2576,0.0358,0.004,0.005,0.0417,0.0,0.8947,0.43,0.8,0.25,0.23180000000000006
3060,0.0574,0.0024,0.0136,0.0612,0.0,0.8321,0.23,0.08,0.19,0.15649999999999994
0,0.0053,0.0009,0.0003,0.6938,0.0,0.2684,0.93,0.94,0.23,0.2635000000000002
1461,0.0353,0.0034,0.0082,0.0769,0.0002,0.8464,0.55,0.32,0.22,0.17669999999999994
705,0.0566,0.0033,0.0174,0.3636,0.0007,0.5378,0.87,0.82,0.26,0.24590000000000015
408,0.0944,0.0042,0.0105,0.0048,0.0012,0.8516,0.2,0.47,0.11,0.16400000000000006
2337,0.0537,0.1248,0.0078,0.0242,0.0009,0.654,0.65,0.5,0.23,0.19970000000000013
2247,0.1826,0.0338,0.0113,0.0309,0.0003,0.6823,0.75,0.55,0.2,0.19830000000000012
2402,0.0684,0.0014,0.0235,0.2024,0.0002,0.6834,0.76,0.45,0.19,0.19410000000000008
1338,0.0129,0.0034,0.0024,0.0088,0.0,0.9599,0.84,0.23,0.23,0.21760000000000002
2555,0.0222,0.0016,0.0022,0.0,0.0,0.968,0.02,0.03,0.2,0.2660999999999997
1459,0.0349,0.0584,0.005,0.0652,0.0013,0.7767,0.53,0.51,0.21,0.20290000000000002
